,Ticker,DCF_Value,Market_Cap,Current_Price,DCF_MarketCap_Ratio,Theoretical_Price,Symbol,Security,GICS Sector,GICS Sub-Industry
418,KEY,4929245018.830198,17158495143.79,15.73,0.2872772336689555,4.51887088561267,KEY,KeyCorp,Financials,Regional Banks
419,WST,4444603148.382261,15553800470.62,218.06,0.28575672915296774,62.31211235909614,WST,West Pharmaceutical Services,Health Care,Health Care Supplies
420,SCHW,35319673844.42362,152243302973.44,88.96,0.2319949262437206,20.638268638641385,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
421,GEV,29340666405.59346,133161563730.62001,488.66,0.2203388544231002,107.67078460239215,GEV,GE Vernova,Industrials,Heavy Electrical Equipment
422,MCHP,7808316170.450845,35709050739.88,67.69,0.21866490451762385,14.801427386797958,MCHP,Microchip Technology,Information Technology,Semiconductors
423,WEC,7191576100.999207,33127447564.199997,104.1,0.2170881438137408,22.598875771010416,WEC,WEC Energy Group,Utilities,Electric Utilities
424,WFC,50577623424.91092,235366718170.0,72.5,0.21488859520223186,15.579423152161809,WFC,Wells Fargo,Financials,Diversified Banks
425,STX,5666568974.761248,27667640118.33,130.87,0.20480853988725647,26.803293615045256,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
426,ISRG,36096025422.4707,182444604087.47,512.11,0.19784649484708833,101.31916847614241,ISRG,Intuitive Surgical,Health Care,Health Care Equipment
427,KMX,1847920967.0024228,9788650875.730001,64.43,0.18878198747328515,12.163223452903765,KMX,CarMax,Consumer Discretionary,Automotive Retail
428,SO,17017670021.269203,96883026309.54001,88.42,0.17565171805118854,15.531124910086092,SO,Southern Company,Utilities,Electric Utilities
429,GE,43859956853.30092,250505664875.25,235.75,0.1750856886815029,41.27645110666431,GE,GE Aerospace,Industrials,Aerospace & Defense
430,CMI,7479356316.944479,43111121164.4,314.8,0.1734901833896338,54.61470973105672,CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment
431,TSLA,147392174857.9978,886822315990.65,316.35,0.1662026002281519,52.57819258217585,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
432,PLTR,45825361178.61257,301069519664.19995,138.2,0.1522085703983725,21.035224429055077,PLTR,Palantir Technologies,Information Technology,Application Software
433,TXN,18860671270.525375,179148651736.96,197.69,0.10527944859009089,20.812694191775066,TXN,Texas Instruments,Information Technology,Semiconductors
434,EW,4425863412.929655,42537056323.579994,73.27,0.10404724246224395,7.623541455208613,EW,Edwards Lifesciences,Health Care,Health Care Equipment
435,TPL,2171838455.2594743,21025353775.6,1087.6,0.10329616702002423,112.34491125097833,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production
436,MMM,6063403568.889832,76416142610.01001,142.21,0.0793471557421372,11.283959018089334,MMM,3M,Industrials,Industrial Conglomerates
437,MOS,824736734.8326828,11391227087.679998,36.16,0.07240104410916923,2.618021754987559,MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals
438,HII,541336847.9392703,9121627567.36,234.08,0.05934651946066518,13.891833275352505,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
439,EQIX,4318679151.026464,86415819017.92,886.76,0.04997556234618227,44.31632966610059,EQIX,Equinix,Real Estate,Data Center REITs
440,SW,802744436.0749767,22157167735.01,42.79,0.03622955991828233,1.5502628689033007,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials
441,MU,2629769193.909912,133958672379.62001,120.34,0.019631197795522463,2.3624183427131733,MU,Micron Technology,Information Technology,Semiconductors
442,LLY,13394979188.767994,708555648668.36,791.24,0.01890462550675046,14.958095885961232,LLY,Lilly (Eli),Health Care,Pharmaceuticals
443,CARR,817773383.8762939,56163105051.18,69.78,0.014560686826896018,1.0160447267808042,CARR,Carrier Global,Industrials,Building Products
444,DUK,1031377467.5333277,88983122380.49,114.79,0.01159070888885174,1.3304974733512913,DUK,Duke Energy,Utilities,Electric Utilities
445,EXE,225002948.24363625,27626938069.79,119.59,0.00814433172707172,0.973980631240507,EXE,Expand Energy,Energy,Oil & Gas Exploration & Production
