combination,trades,down_rate,stop_rate
ROC_5>0 & OBV↑ & Vol<Vol20 & DIF>DEA & CMO>0 & ROC8↑,156,0.3782051282051282,0.3653846153846153
ROC_5>0 & OBV↑ & Vol<Vol20 & Hist>0 & CMO>0 & ROC8↑,156,0.3782051282051282,0.3653846153846153
ROC_5>0 & OBV↑ & Vol<Vol20 & DIF>DEA & Hist>0 & CMO>0 & ROC8↑,156,0.3782051282051282,0.3653846153846153
Close near BB_upper & Close near BB_lower & Vol<Vol20 & %D<80 & ROC3↑ & ROC8↑,156,0.3782051282051282,0.3782051282051282
ROC_5>0 & ATR14>ATR50 & Close near BB_upper,156,0.3782051282051282,0.3846153846153846
ROC_3>0 & ROC_5>0 & MA20↑ & Vol<Vol20 & ROC8↑,198,0.3787878787878788,0.3737373737373737
ROC_5>0 & MA20↑ & OBV↑ & Vol<Vol20 & ROC8↑,198,0.3787878787878788,0.3787878787878788
Close near BB_lower & OBV↑ & Vol<Vol20 & ROC3↑,161,0.3788819875776397,0.3416149068322981
MA20↑ & MA10↑ & OBV↑ & Vol<Vol20 & J<100 & CMO>0 & ROC8↑,161,0.3788819875776397,0.3726708074534161
MA20↑ & MA10↑ & OBV↑ & Vol<Vol20 & %K>20 & J<100 & CMO>0 & ROC8↑,161,0.3788819875776397,0.3726708074534161
ROC_3>0 & MA20↑ & OBV↑ & Vol<Vol20 & ROC8↑,190,0.3789473684210526,0.3684210526315789
ROC_3>0 & OBV↑ & Vol<Vol20 & J<100 & CMO>0 & ROC8↑,190,0.3789473684210526,0.3842105263157894
ROC_3>0 & OBV↑ & Vol<Vol20 & %K>20 & J<100 & CMO>0 & ROC8↑,190,0.3789473684210526,0.3842105263157894
OBV↑ & Vol<Vol20 & %K>20 & J<100 & DIF>DEA & ROC8↑,153,0.3790849673202614,0.3594771241830065
OBV↑ & Vol<Vol20 & %K>20 & J<100 & Hist>0 & ROC8↑,153,0.3790849673202614,0.3594771241830065
OBV↑ & Vol<Vol20 & %K>20 & J<100 & DIF>DEA & Hist>0 & ROC8↑,153,0.3790849673202614,0.3594771241830065
